Country Name,1990,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013
China,53.9,36.9,23.9,21.8,20,18.4,17.1,15.8,14.7,13.6,12.7
United Kingdom,9.3,6.6,6,5.9,5.8,5.6,5.4,5.2,5,4.8,4.6
United States,11.2,8.4,8,7.9,7.8,7.7,7.5,7.4,7.2,7.1,6.9
South Africa,61,74.3,79.6,76.9,72.9,69.3,63.4,53.2,47.5,44.9,43.9
Afghanistan,179.1,135.6,119,115.8,112.9,110.2,107.7,105.2,102.6,100,97.3
Australia,9.2,6.2,5.7,5.6,5.4,5.2,5,4.8,4.5,4.2,4
Brazil,61.5,32.9,22.9,21.4,20,18.6,17.4,16.3,15.3,14.5,13.7
India,125.9,91.4,74.7,71.6,68.7,65.8,62.9,60.2,57.5,55,52.7
